"Standard Report - Exports"
"Current date: 07/10/2019 7:50 PM (Eastern Daylight Time)"
"Country: World Total"
"Measures: Value ($US)"
"Time","Commodity","District","Value ($US)",
"2014","3915 Waste, Parings And Scrap, Of Plastics","All Districts","953,036,078"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Anchorage, AK","369,861"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Baltimore, MD","6,301,650"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Boston, MA","8,014,751"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Buffalo, NY","24,017,032"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Charleston, SC","52,886,821"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Chicago, IL","2,120,098"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Cleveland, OH","437,932"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Columbia-Snake, OR","2,414,731"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Dallas-Fort Worth, TX","30,197"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Detroit, MI","36,253,231"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Duluth, MN","2,249,688"
"2014","3915 Waste, Parings And Scrap, Of Plastics","El Paso, TX","3,273,992"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Great Falls, MT","1,919,055"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Honolulu, HI","1,843,045"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Houston-Galveston, TX","49,135,688"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Laredo, TX","11,807,556"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Los Angeles, CA","365,803,307"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Low Value","3,266,808"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Miami, FL","16,353,023"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Minneapolis, MN","60,368"
"2014","3915 Waste, Parings And Scrap, Of Plastics","Mobile, AL","5,665,968"
"2014","3915 Waste, Parings And Scrap, Of Plastics","New Orleans, LA","1,303,145"
"2014","3915 Waste, Parings And Scrap, Of Plastics","New York City, NY","96,726,127"
